#KEY: original
#CATALOG NAME: TNA_SP106_7_Anne_(0043-0045)-1
#IMAGE NAME: 3848.png-3849.png
#LANGUAGE: FR
#TRANSCRIBER NAME: DK
#DATE OF TRANSCRIPTION: May 15, 2020
#TRANSCRIPTION TIME: 9h 50min
#STATUS:complete


#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1702-03-08 - 1837-06-20


#IMAGE NAME: 3848.png

513|648|731|869|983 - A
223 - sans
232 - Successeur
244 - so
300 - Septembre
301 - Stockholm
333 - Surprise
354 - sept
387 - selon
390 - Saxe
402 - Soldat
412 - Souverain
416 - sou
421 - surprenant
424 - semble
428 - son
443 - soi
445 - succes
451 - st
462 - seize
509 - soin
532 - sai
536 - si
550 - ss
562|783 - Suede
569 - soubçon
606 - sur
624 - souhait
641 - su
642 - sion
656 - Stadthouder
703 - sa
726 - ses
738 - savoir
742 - sujet
805 - soutien
873 - secret
896 - ste
906 - sort
915 - se
960 - Swart

135 - T
128 - to
129 - troupes
157 - tre
166 - tombe
224 - trait
252 - tort
285 - te
288 - tion
295 - Turc
323 - ti
350 - tri
397 - Traité
427 - tres
477 - Turquie
541|752 - tout
555|842 - tt
566 - tra
628 - tou
694 - traitre
707 - ton
713 - tot
717 - trompe
746 - toujours
787 - treize
788 - Titley
834 - tu
882 - tant
889 - tro
940 - trou
999 - troi

470 - U
819 - ub
922 - uc
838 - ud
745 - ue
573 - uf
798 - ug
698 - uh
378 - ui
602 - ul
108 - um
332|615 - un
493 - up
238 - ur
663 - us
761 - ut
885 - ux
691 - uz
866 - une
609 - uque
815 - Va
145 - vi
965 - ve
841 - vaisseau
863 - vou
152 - Votre Excellence
218 - votre
230 - voir
302 - veut
308 - vien
321 - vos
327 - ville
330 - ulterieur
331 - vieux stille
385 - uv
846|484|458 - vous
459 - vers
498 - Valory
520 - visite
572 - Versailles
620 - veille
638 - Vienne
680 - Vice
687|683 - vu
773 - Woronzow
471 - Williams
499 - Wulfwenstierna

991 - X
474 - xa
995 - xe

672|192 - Y

639 - Z
843 - za
381 - ze
524 - zi
732 - zo
155 - zu
