sign	tokens	icit	m77_added	initial	medial	final	left	right	as_name_end_740	as_name_end_520	numeral	fish_series	fairservis	anchor	role
809	19	19	0	32%	63%	5%	809:9 ^:6 33:1	809:9 740:6 $:1	6	0					740-name
773	19	8	11	16%	79%	5%	240:6 2:3 ^:3	740:17 $:2	17	0					740-name
65	19	11	8	21%	74%	5%	^:4 615:3 826:1	220:12 $:2 60:1	0	0					other
34	18	18	0	72%	17%	11%	^:13 1:1 400:1	700:10 $:4 390:3	0	0	4 long				numeral
382	18	11	7	56%	39%	6%	^:10 31:2 2:1	760:7 740:2 520:2	2	2			E-6b pipal leaf (presumed to be a variant of E-6a)		other
519	18	10	8	67%	28%	6%	^:12 2:4 240:1	740:6 415:2 798:2	6	0					740-name
484	18	10	8	44%	56%	0%	^:8 900:3 31:1	337:7 336:5 380:2	1	0			K-2 measuring rule (hatched)		other
554	17	10	7	29%	71%	0%	^:5 2:4 1:2	527:8 740:4 526:3	4	0					other
905	17	11	6	100%	0%	0%	^:17	32:13 705:2 745:1	0	0					other
111	17	9	8	24%	47%	29%	^:4 33:2 165:2	$:5 60:2 590:2	0	0			A-18 a man with a container, but U as pot		other
540	17	7	10	53%	35%	12%	^:9 2:2 350:2	740:6 $:6 2:2	6	0			M-3 drum		740-name
91	17	17	0	94%	6%	0%	^:16 220:1	56:8 368:2 500:2	0	0					other
260	17	8	9	65%	35%	0%	^:11 2:2 832:2	368:4 4:2 760:1	1	0					other
880	17	8	9	88%	12%	0%	^:15 65:1 689:1	2:11 $:1 820:1	0	0			N-6a settlement (urban)		other
380	16	8	8	31%	69%	0%	^:5 380:5 484:2	380:5 125:2 127:2	1	0			F-12 cover, roof		other
167	16	4	12	0%	6%	94%	705:14 706:1 704:1	$:15 400:1	0	0					other
374	16	9	7	38%	56%	6%	^:6 575:2 740:1	2:5 368:2 $:2	0	0					other
161	15	10	5	7%	13%	80%	97:3 55:2 390:2	$:13 400:2	0	0					other
243	15	10	5	40%	53%	7%	^:6 31:2 705:2	615:5 151:3 $:2	0	0		yes			other
241	15	10	5	0%	13%	87%	803:3 220:2 2:2	$:13 900:1 400:1	0	0		yes			other
844	14	8	6	29%	71%	0%	^:4 140:4 32:1	390:10 405:3 $:1	0	0					other
371	14	8	6	71%	21%	7%	^:10 220:2 741:1	390:3 455:2 $:2	0	0			L-12 a bead, or bead on a necklace (drawing from summary chart p. 151: bead on a string)		other
436	14	14	0	0%	93%	7%	255:13 740:1	690:13 $:1	0	0					other
491	14	14	0	86%	14%	0%	^:12 2:1 742:1	817:5 920:2 3:2	0	0					other
354	14	6	8	29%	43%	29%	^:4 2:3 740:2	$:5 460:3 740:2	2	0					other
48	14	14	0	0%	100%	0%	2:11 741:2 232:1	740:14	14	0					740-name
853	14	10	4	93%	7%	0%	^:13 16:1	16:2 90:1 235:1	0	0					other
530	13	10	3	31%	62%	8%	^:4 741:3 740:1	32:2 $:2 748:1	0	0					other
101	13	7	6	23%	62%	15%	2:5 ^:3 31:1	740:6 $:2 176:2	4	0					other
95	13	13	0	38%	62%	0%	^:5 585:3 760:2	520:5 595:3 390:2	0	1					other
906	13	8	5	31%	54%	15%	^:4 388:4 200:1	615:3 $:2 2:2	0	0			F-16 two crescent moons back to back, dark period		other
297	12	12	0	8%	92%	0%	350:2 190:2 352:1	2:4 60:3 400:1	0	0					other
526	12	12	0	0%	0%	100%	550:5 554:3 555:3	$:12	0	0					other
250	12	8	4	50%	33%	17%	^:6 579:2 255:1	$:3 741:2 542:1	0	0					other
232	12	8	4	17%	33%	50%	240:2 235:2 220:2	$:7 400:2 97:1	0	0		yes			other
838	12	12	0	33%	67%	0%	^:4 741:3 240:2	798:3 585:2 482:2	1	0					other
711	12	12	0	0%	92%	8%	335:11 817:1	33:11 $:1	0	0					other
318	12	12	0	0%	100%	0%	220:11 700:1	920:12	0	0				gharial (weak)	other
360	12	7	5	58%	25%	17%	^:7 268:1 520:1	$:2 293:1 257:1	0	0					other
776	12	6	6	8%	58%	33%	495:6 625:1 503:1	740:4 $:4 32:2	4	0					other
812	12	8	4	0%	92%	8%	33:3 125:1 95:1	2:3 595:2 125:2	1	0					other
794	12	9	3	17%	83%	0%	630:3 ^:2 732:2	740:3 741:3 706:2	3	0					other
72	11	11	0	27%	64%	9%	^:3 220:2 921:2	520:4 $:1 390:1	0	4					other
804	11	8	3	18%	36%	45%	740:4 ^:2 233:2	400:6 $:5	0	0					other
337	11	11	0	18%	82%	0%	484:7 ^:2 692:1	740:9 151:1 503:1	9	0			L-1 cloth sewn, or prepared		740-name
545	11	8	3	100%	0%	0%	^:11	908:2 140:2 576:1	0	0			M-4 a triple drum		other
215	11	7	4	55%	9%	36%	^:6 1:2 2:2	740:5 $:4 65:1	5	0			L-10 beads		740-name
130	11	8	3	9%	73%	18%	35:4 32:3 746:1	2:3 400:2 $:2	0	0					other
