# No. 95 (30 Sept 1812), frames 0228, 0229, 0233, 0234L (codes_ford1812_no95.txt) aligned group by group with the
# Department's decypherment as printed by Ford 4:389-391 (clear copy on frames 0230-0232).
# python align.py codes_ford1812_no95.txt code_table.tsv
# number<TAB>value<TAB>frame+block (Ford page; note)<TAB>grade: C = fixed by Ford between known neighbours; M = split or digit is a judgement
498	war	0228-0234 No.95 row 106 (Ford 4:389-391)	C
1176	which	0228-0234 No.95 row 107 (Ford 4:389-391)	C
1244	had	0228-0234 No.95 row 108 (Ford 4:389-391)	C
1501	a	0228-0234 No.95 row 109 (Ford 4:389-391)	C
1464	ri	0228-0234 No.95 row 110 (Ford 4:389-391)	C
1083	sen	0228-0234 No.95 row 111 (Ford 4:389-391)	C
1331	between	0228-0234 No.95 row 112 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 113 (Ford 4:389-391)	C
49	unitedstates	0228-0234 No.95 row 114 (Ford 4:389-391)	C
668	and	0228-0234 No.95 row 115 (Ford 4:389-391)	C
1290	england	0228-0234 No.95 row 116 (Ford 4:389-391)	C
1384	that	0228-0234 No.95 row 117 (Ford 4:389-391)	C
169	he	0228-0234 No.95 row 118 (Ford 4:389-391)	C
1244	had	0228-0234 No.95 row 119 (Ford 4:389-391)	C
552	thought	0228-0234 No.95 row 120 (Ford 4:389-391)	C
169	he	0228-0234 No.95 row 121 (Ford 4:389-391)	C
1123	per	0228-0234 No.95 row 122 (Ford 4:389-391)	C
1018	ceived	0228-0234 No.95 row 123 (Ford 4:389-391)	C
452	va	0228-0234 No.95 row 124 (Ford 4:389-391)	C
1464	ri	0228-0234 No.95 row 125 (Ford 4:389-391)	C
937	ous	0228-0234 No.95 row 126 (Ford 4:389-391)	C
1426	in	0228-0234 No.95 row 127 (Ford 4:389-391)	C
833	di	0228-0234 No.95 row 128 (Ford 4:389-391)	C
1014	cations	0228-0234 No.95 row 129 (Ford 4:389-391)	C
1384	that	0228-0234 No.95 row 130 (Ford 4:389-391)	C
1391	there	0228-0234 No.95 row 131 (Ford 4:389-391)	C
500	was	0228-0234 No.95 row 132 (Ford 4:389-391)	C
1592	on	0228-0234 No.95 row 133 (Ford 4:389-391)	C
1349	both	0228-0234 No.95 row 134 (Ford 4:389-391)	C
1099	sides	0228-0234 No.95 row 135 (Ford 4:389-391)	C
1501	a	0228-0234 No.95 row 136 (Ford 4:389-391)	C
731	re	0228-0234 No.95 row 137 (Ford 4:389-391)	C
894	lu	0228-0234 No.95 row 138 (Ford 4:389-391)	C
1060	ct	0228-0234 No.95 row 139 (Ford 4:389-391)	C
1550	ance	0228-0234 No.95 row 140 (Ford 4:389-391)	C
699	at	0228-0234 No.95 row 141 (Ford 4:389-391)	C
545	en	0228-0234 No.95 row 142 (Ford 4:389-391)	C
1202	ga	0228-0234 No.95 row 143 (Ford 4:389-391)	C
1216	gi	0228-0234 No.95 row 144 (Ford 4:389-391)	C
438	ng	0228-0234 No.95 row 145 (Ford 4:389-391)	C
1426	in	0228-0234 No.95 row 146 (Ford 4:389-391)	C
668	and	0228-0234 No.95 row 147 (Ford 4:389-391)	C
219	pro	0228-0234 No.95 row 148 (Ford 4:389-391)	C
1075	se	0228-0234 No.95 row 149 (Ford 4:389-391)	C
1081	cu	0228-0234 No.95 row 150 (Ford 4:389-391; prose-cu-ting; 1081 = self twice in this letter, probably 1061 (cu) misread)	M
550	ti	0228-0234 No.95 row 151 (Ford 4:389-391)	C
