# JQA St Petersburg code (the = 1385), one value per number, built by consolidate.py
# number	value	grade (H clerk decode, C Ford-aligned, M uncertain, I slot inference)	support
586	le	H	override: clerk Napo-le-on (0184L4, 0190); also -ible in poss-ible (0010 against Ford)
587	lea	M	1x
588	tled	C	1x
589	least	M	2x; also to
592	ledge	C	3x; also ly/ledged
593	left	C	2x
596	lent	C	1x; also len
598	less	C	2x
599	at	M	1x
600	was	M	1x
601	(sympt)oms	M	1x
602	ma	C	6x; also ti/duced
603	mi	M	1x
605	made	H	8x
607	mag	C	1x
608	maj	M	1x
609	maintain	H	3x; also main
611	make	H	3x
612	mal	C	1x
613	mani	M	1x
614	manifest	C	1x
615	many	C	1x
617	mar	C	1x
618	march	C	5x
620	mark	M	override: clerk 0182L5 re-mark-s
624	may	M	1x
625	mation	H	2x
627	may	H	4x; also mass
628	me	H	23x
630	mean	H	2x
631	x	M	1x
632	medi	C	5x
634	mem	H	2x
636	men	H	3x
637	ment	H	22x; also ments/mented
638	men	M	2x; also mention
639	mer	H	4x
640	mes	C	1x
641	meet	C	1x
643	mi	C	4x; also ma
646	might	H	12x
648	April	M	1x; also millions/million
649	min	C	4x; also mi
650	mind	H	4x
651	those	H	1x; also x
653	ty	H	6x; also y/heard/tys
657	yet	H	5x
659	ments	H	1x
661	yond	C	1x
662	York	H	1x
663	you	H	5x
664	your	C	1x
665	zoff	H	6x; also zil/zu/z/is
666	March	M	1x
668	and	H	92x; also re
669	to	M	1x; also an
673	ant	C	2x; also an/eat
674	any	H	13x
675	ap	C	5x
677	appears	M	2x; also appear/appea/appeared
678	April	C	1x
680	ar	H	10x; also ci
681	are	H	2x
682	arch	C	1x; also mary/may
683	gard	H	4x; also ci/y
684	are	H	6x
685	z	M	1x
686	arm	C	2x; also arms
687	army	H	override: clerk 0190L10; 'armies' with the plural mark (0184R6, R9)
688	y	C	1x
689	mer	C	2x
691	nary	M	1x; also tomary
692	as	H	39x; also since
693	van	M	2x
694	min	H	1x
695	ask	H	5x; also ap
698	as	M	1x
699	at	H	18x; also from/tic/me
700	ate	H	5x; also nate
702	by	M	1x
703	ture	M	1x
704	quarter	H	2x
705	quen	M	1x
707	quer	C	1x
708	quest	C	4x; also tur
709	quite	H	2x; also quip/qui
713	port	M	1x; also ish
714	ral	M	2x; also ra
717	rais	M	1x
720	ran	C	4x; also arran
726	rate	I	1x
727	ation	C	1x; also rather
728	ation	H	override: clerk 0189, 0190 (-ation)
730	heard(part)	M	1x; also re
731	re	H	31x; also ture/ser/ure
732	read	M	1x
733	ready	H	5x
734	reason	M	1x; also source
735	re	H	2x
736	received	H	6x; also receiv/receive
738	ed	C	3x
739	re	H	6x
742	rela	C	3x; also relat
743	rem	C	2x
744	ren	M	2x
746	rep	C	1x; also re
747	report	H	3x
748	res	M	3x; also re
749	respect	H	4x
751	trade	H	3x; also more
752	trans	C	2x
753	a (situation)	M	1x
754	tude	M	1x
755	treat	M	3x; also trea
756	tri	M	1x
759	true	M	1x
760	trust	H	2x
761	truth	H	1x
763	tu	M	3x; also ture/t
764	tude	M	1x; also tu
767	tune	M	1x
771	him	M	1x; also turn
772	heard	H	1x
773	25,000	M	1x
775	two	C	5x
776	ty	H	12x; also ties/ities/two
777	british	H	3x
780	burg	C	1x; also trust
781	re (retire)	M	1x
786	burg	C	2x; also berg
789	ry	M	1x
790	but	H	24x; also don
792	by	H	22x
796	don	M	1x
797	done	H	2x
798	but	H	1x
799	doubt	M	2x; also but/dou
801	d	H	8x
802	da	C	4x; also tion
804	lous	M	1x
805	dan	C	1x
807	ly	C	1x; also date
808	day	H	8x; also days
809	de	H	14x
811	de	H	5x; also dec/making/d
812	ded	M	3x; also ed/da
813	far	M	1x; also deem
815	def	I	1x
816	ding	M	1x
817	degree	M	1x
818	pect	M	1x
821	dem	I	1x
822	demand	C	2x; also fect
823	den	H	7x; also dence
824	dent	M	3x; also dents
825	deep	C	1x
826	depart	H	4x
827	depend	H	3x; also de
828	der	M	override: Alex-an-der twice in No. 88; one agent reading 'me' at 0184L10 not trusted
829	dis	C	1x; also des
830	mean	H	1x
833	di	H	11x; also i
834	did	H	6x
837	differ	C	1x
838	difficul	C	3x
843	di	M	2x
844	di	C	7x
845	dis	H	14x; also first
846	disc	C	3x; also might/nd/dis
849	dispatched	C	2x; also letter
851	write	C	1x; also do
852	no	C	1x
853	idle	M	1x; also ty/di
854	do	H	5x
855	difficul	M	1x
857	nor	H	1x
860	write	C	1x
861	write	H	1x
863	you	C	1x
864	ation	H	13x; also tion/ration
866	au	C	2x; also avow
868	au	M	2x; also north
869	Austria	C	1x
870	aw	C	2x; also was
873	aft	M	1x
874	fu	C	1x; also any
875	ful	H	4x; also fy/full
877	fur	C	4x
879	letter	H	4x; also letters
