sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
3970	H-1130	Harappa	TAB:B	Y	R/L	740 176 220 235	235 220 176 740	
3971	H-1131	Harappa	TAB:B	Y	R/L	740 176 220 235	235 220 176 740	
3975	H-1137	Harappa	TAB:B	Y	R/L	740 603 240 60 692	692 60 240 603 740	
3976	H-1140	Harappa	TAB:B	Y	R/L	740 32 840 0	0 840 32 740	
3978	H-1148	Harappa	TAB:B	Y	R/L	615 352	352 615	
3979	H-1149	Harappa	TAB:B	Y	R/L	400 740 790	790 740 400	
3984	M-1727	Mohenjo-daro	SEAL:S	Y	R/L	520 70 503 240	240 503 70 520	Bull1:W
3985	M-1736	Mohenjo-daro	SEAL:S	Y	R/L	520 33 705 235 240 741 903 903	903 903 741 240 235 705 33 520	Bull1:S
3987	M-1773	Mohenjo-daro	SEAL:S	Y	R/L	740 752 460 510	510 460 752 740	Bull1
3988	M-1782	Mohenjo-daro	SEAL:S	Y	R/L	740 384	384 740	Bull1
3990	M-1806	Mohenjo-daro	SEAL:S	Y	R/L	390 3 2 820	820 2 3 390	Bull1:S
3991	M-1823	Mohenjo-daro	SEAL:S	Y	R/L	390 4 2 31 376	376 31 2 4 390	Bull1:S
3992	M-1825	Mohenjo-daro	SEAL:S	Y	R/L	157 31 2 390 705	705 390 2 31 157	Bull1
3993	M-1835	Mohenjo-daro	SEAL:S	Y	R/L	154 900 4 1 390 32	32 390 1 4 900 154	Bull1:O
3995	M-1843	Mohenjo-daro	SEAL:S	Y	R/L	520 220 1 820 220 63 315	315 63 220 820 1 220 520	Bull1:I
3996	M-1852	Mohenjo-daro	SEAL:S	Y	R/L	740 900 5	5 900 740	Bull1
3997	M-1856	Mohenjo-daro	SEAL:S	Y	R/L	740 61	61 740	Bull1
4001	M-1894	Mohenjo-daro	SEAL:S	Y	R/L	740 440 233 2 413 368 31	31 368 413 2 233 440 740	Zebu
4002	M-1909	Mohenjo-daro	SEAL:S	Y	R/L	368 5 2 590 455	455 590 2 5 368	Rhin
4004	M-1930	Mohenjo-daro	SEAL:S	Y	R/L	400 804	804 400	
4005	M-1958	Mohenjo-daro	SEAL:R	Y	R/L	740 903 850 33 706 235	235 706 33 850 903 740	
4007	M-1962	Mohenjo-daro	SEAL:R	Y	R/L	155 806 468	468 806 155	
4010	M-1973	Mohenjo-daro	SEAL:R	Y	R/L	740 575 17 233 550 2 861	861 2 550 233 17 575 740	
4011	M-1979	Mohenjo-daro	SEAL:R	Y	R/L	740 923 13 820	820 13 923 740	
4014	M-2000	Mohenjo-daro	POT:T:s	Y	R/L	790 5 956	956 5 790	Bull1
4015	M-2012	Mohenjo-daro	TAB:B	Y	R/L	740 900 5 2 570	570 2 5 900 740	Bull1
4016	M-2021	Mohenjo-daro	TAB:B	Y	R/L	740 927	927 740	Mult
4020	M-2030	Mohenjo-daro	TAB:B	Y	R/L	455 66 942 90	90 942 66 455	
4022	M-2033	Mohenjo-daro	TAB:B	Y	R/L	136 140 861 455 922	922 455 861 140 136	Scene
4023	M-2042	Mohenjo-daro	TAB:C	Y	R/L	740 923 33 706	706 33 923 740	Elep
4025	M-2046	Mohenjo-daro	TAB:C	Y	R/L	740 752 615 503	503 615 752 740	Gaur
4029	M-2050	Mohenjo-daro	TAB:C	Y	R/L	740 900 850 407 61 845 806	806 845 61 407 850 900 740	Anth
4030	M-2055	Mohenjo-daro	TAB:C	Y	R/L	2 407 125 590 831	831 590 125 407 2	
4031	H-1178	Harappa	TAB:I	Y	R/L	700 125	125 700	
4032	M-2080	Mohenjo-daro	BNGL	Y	R/L	840 705	705 840	
4033	M-2086	Mohenjo-daro	ROD	Y	R/L	740 482 838	838 482 740	
4036	M-2097	Mohenjo-daro	ROD	Y	R/L	400 740 176	176 740 400	
4039	M-2101	Mohenjo-daro	ROD	Y	R/L	723 66 828	828 66 723	
4040	M-2102	Mohenjo-daro	ROD	Y	R/L	740 482 838	838 482 740	
4047	M-2128	Mohenjo-daro	IMPL	Y	R/L	41 705 2 905	905 2 705 41	
4052	H-897	Harappa	TAB:I	Y	R/L	868 706 590	590 706 868	
4056	H-1191	Harappa	TAB:I	Y	R/L	220 700 4	4 700 220	
4059	H-1198	Harappa	TAB:I	Y	R/L	700 33	33 700	
4068	H-1281	Harappa	TAB:I	Y	R/L	0	0	
4069	H-1284	Harappa	TAB:I	Y	L/R	700 34	34 700	
4072	H-1320	Harappa	TAB:I	Y	R/L	700 32	32 700	
4073	H-1302	Harappa	TAB:I	Y	L/R	700 33	33 700	
4074	H-1295	Harappa	TAB:I	Y	R/L	0 0 0	0 0 0	
4077	H-1303	Harappa	TAB:I	Y	L/R	700 33	33 700	
4082	H-1332	Harappa	TAB:I	Y	R/L	400 98	98 400	
4084	H-1342	Harappa	TAB:I	Y	R/L	90 740 220	220 740 90	Gavi+Bult
4085	H-1344	Harappa	TAB:I	Y	R/L	700 33	33 700	Bult
4086	H-1345	Harappa	TAB:I	Y	R/L	400 740 176	176 740 400	Bult
4087	H-1346	Harappa	TAB:I	Y	R/L	700 33	33 700	Bult
4088	H-1347	Harappa	TAB:I	Y	R/L	700 33	33 700	Bult
4090	H-1350	Harappa	TAB:I	Y	R/L	226 32	32 226	Bult
4097	H-1367	Harappa	POT:T:g	Y	R/L	480 3 31	31 3 480	
4124	H-1459	Harappa	POT:T:g	Y	R/L	482 33	33 482	
4138	H-1511	Harappa	TAB:I	Y	R/L	413 530	530 413	
4139	H-1512	Harappa	TAB:I	Y	R/L	740 554	554 740	
4143	H-1520	Harappa	IMPL	Y	R/L	645 3 900	900 3 645	
4149		Dholavira	SEAL:S	Y	R/L	520 33 33	33 33 520	Bull1:S
4153		Rakhigarhi	SEAL:S	Y	R/L	520 73	73 520	Rhin
4155		Gonur Depe	SEAL:S	Y	R/L	740 390 590 125 220 235 2 285	285 2 235 220 125 590 390 740	Elep
4159		Dholavira	SEAL:S	Y	R/L	368 5 741 60 920	920 60 741 5 368	Bull1:J
4161		Dholavira	SEAL:R	Y	R/L	64 4 2 1 740 176	176 740 1 2 4 64	
4162		Dholavira	SEAL:S	Y	R/L	740 760 1 233	233 1 760 740	Bull1
4164		Dholavira	SEAL:R	Y	L/R	423 3 1 423 2 31 104	104 31 2 423 1 3 423	
4165		Dholavira	SEAL:S	Y	R/L	740 840 416	416 840 740	Bull1:V
4166		Dholavira	TAB:I	Y	R/L	776 440 3 421	421 3 440 776	
4167		Dholavira	SEAL:R	Y	R/L	520 33 706	706 33 520	
4172		Dholavira	SEAL:S	Y	R/L	90 160	160 90	Bull1:W
4173		Salut	SEAL:S	Y	R/L	392 4 2 278 595	595 278 2 4 392	Gaur
4175		Dholavira	SEAL:S	Y	R/L	156 142 741 60 920	920 60 741 142 156	Bull1:W
