sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
M77-1489		unknown	M77	Y	M77	33 740	33 740	
M77-1491		unknown	M77	Y	M77	2 32 220 923	2 32 220 923	
M77-1492		unknown	M77	Y	M77	2 235	2 235	
M77-1495		unknown	M77	Y	M77	460	460	
M77-1496		unknown	M77	Y	M77	705 140	705 140	
M77-1497		unknown	M77	Y	M77	220 320 920 550	220 320 920 550	
M77-1498		unknown	M77	Y	M77	820 2 220	820 2 220	
M77-1499		unknown	M77	Y	M77	904 740	904 740	
M77-1527		Mohenjo-daro	M77	Y	M77	140 ? 400 0 3 1 690 33 700	140 ? 400 0 3 1 690 33 700	
M77-1531		Mohenjo-daro	M77	Y	M77	415 220 740 400	415 220 740 400	
M77-1535		Mohenjo-daro	M77	Y	M77	31 61 742 241	31 61 742 241	
M77-1538		Mohenjo-daro	M77	Y	M77	877 61 740	877 61 740	
M77-1544		Mohenjo-daro	M77	Y	M77	345 204 2 ? 235 240 705	345 204 2 ? 235 240 705	
M77-1545		Mohenjo-daro	M77	Y	M77	65 400 400	65 400 400	
M77-1547		Mohenjo-daro	M77	Y	M77	820	820	
M77-1550		Mohenjo-daro	M77	Y	M77	240 632 740 0 621	240 632 740 0 621	
M77-1552		Mohenjo-daro	M77	Y	M77	32 840 298 2 ? 831 615 615	32 840 298 2 ? 831 615 615	
M77-1558		Mohenjo-daro	M77	Y	M77	4 405	4 405	
M77-1602		unknown	M77	Y	M77	480 31 2 235 335 760 740	480 31 2 235 335 760 740	
M77-1603		unknown	M77	Y	M77	705 167 0 705 167	705 167 0 705 167	
M77-1604		unknown	M77	Y	M77	?	?	
M77-1610		unknown	M77	Y	M77	? 0 ?	? 0 ?	
M77-1611		unknown	M77	Y	M77	? 0 ?	? 0 ?	
M77-1613		unknown	M77	Y	M77	? 0 ?	? 0 ?	
M77-1616		unknown	M77	Y	M77	101 176 0 240 415 100 740	101 176 0 240 415 100 740	
M77-1623		unknown	M77	Y	M77	519 798 176 740 151 700 700 700 390 0 645 70 741 150 269 840 32 0 741 904 700 820 32 17 904 415 100 740	519 798 176 740 151 700 700 700 390 0 645 70 741 150 269 840 32 0 741 904 700 820 32 17 904 415 100 740	
M77-1625		unknown	M77	Y	M77	235 520 0 ? 165 255 435 0 615 740 90	235 520 0 ? 165 255 435 0 615 740 90	
